variable,corr_contemporanea,corr_t_menos_1
vlr_vencido,0.018021061588895895,0.019266911514289917
saldo_capital,0.023142316612282852,0.056707232329185196
valor_cuota_mes,0.036542234606158935,0.023228546437402315
pago_mes,0.11902093308646902,0.047902485458273907
porc_pago_mes,0.12320639002119527,0.13911283834137034
cant_gestiones,-0.2167712490035314,-0.01590055031612584
cant_acuerdo,-0.2427132653968683,-0.04470699024649935
rpc,-0.27746429564962793,-0.047157125081515566
dias_mora_fin,-0.34739963002626145,-0.0033756335878818854
marca_pago,0.4749094393532456,0.05354372480192925
marca_alternativa,-0.8743745368798143,0.06935712647725893
